"Reference","Qty","Value","Parts Reference"
"AL1","1","~","PSK-10E-5"
"C1,C2,C4","3","GXT21BR71A475KE13L",""
"C3,C5","2","100nF",""
"C6,C7,C8","3","CGA4J1X7R0J106K125AC",""
"D1,D2,D3","3","SS14",""
"F1","1","3403.0166.24","3403.0166.24"
"IC1","1","TPS73533DRVT",""
"IC2","1","USBLC6-2SC6","USBLC6-2SC6"
"IC3","1","STM32G0B1KBU6",""
"IC4,IC5,IC6","3","AL8860WT-7",""
"J1,J4","2","1190297",""
"J2","1","USB4940-00-A",""
"J3","1","FTSH-107-01-F-DV-K",""
"J5","1","1190373",""
"L1,L2,L3","3","PA4332.472NLT",""
"LED1,LED2","2","~",""
"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10","10","~","TLP2303TPLE"
"R1,R2,R3,R4,R5,R14,R15,R16,R17,R18","10","5.1R","LTR100JZPF5101"
"R6","1","MCT0603MC3302FP500",""
"R7,R19","2","CR0603-FX-5101ELF",""
"R8","1","ERJ-P08F8202V",""
"R9,R10,R11,R12,R13,R20,R21,R22,R23,R24","10","3.3R","CR0603-FX-3301ELF"
"R25,R26,R27","3","100R","SFR03EZPJ101"
"R28,R29,R30","3","0.16R","RL0603FR-070R16L"
"S1","1","SPST","TS09-63-25-WT-160-SMT-TR"
